,HT29-pi,Hs766T-pi,both-pi,HT29-dapi,Hs766T-dapi,both-dapi
d11_p,,0.0,0.0,,0.7628347485303723,0.7628347485303723
d8_p,,0.0,0.0,,0.8559917960738354,0.8427668332843281
d9_p,,0.0,0.0,,0.8521845029684884,0.8534259117961239
e10_p,,0.0,0.0,,0.8403710031730535,0.8568507157464212
e11_p,,0.0,0.0009578544061302681,,0.7661298701298701,0.7661298701298701
e8_p,,0.0,0.00942507068803016,,0.6666666666666666,0.07777179763186222
e9_p,,0.0,0.0,,0.8261559383499547,0.8261559383499547
f10_p,,0.0,0.0,,0.8853097804909729,0.8586339014400846
f11_p,,0.0,0.0162748643761302,,0.7838858581619806,0.652158142908959
f8_p,,0.0,0.0,,0.8212980466288595,0.8300336197235711
f9_p,,0.0,0.0,,0.8188797986154814,0.8114482406935237
g10_p,,0.0,0.0,,0.8355161787365177,0.7721551835993253
g11_p,,0.0,0.004424025863535817,,0.8852379801884513,0.43601093607603175
g8_p,,0.0,0.0,,0.7852728235917358,0.7850377965070814
g9_p,,0.0,0.0,,0.7771629778672032,0.7692307692307693
h10_p,,0.0,0.0,,0.8639795093016985,0.9003094309161845
h11_p,,0.0,0.002720265981562642,,0.8814642649622313,0.5830749354005168
h8_p,,0.0,0.0,,0.8608999127508413,0.8608999127508413
h9_p,,0.0,0.0,,0.7823700355182435,0.7693089430894309
