,HT29-pi,Hs766T-pi,both-pi,HT29-dapi,Hs766T-dapi,both-dapi
g2,0.7775407989647487,,0.5843502297046105,0.7036761452761131,,0.5098585626602188
g3,0.694227721565281,,0.7461700987798492,0.5785962504541068,,0.7599370279203543
g4,0.9116495769815587,,0.9007232623349033,0.8018819467385628,,0.8137612416782382
g5,0.7976227017927279,,0.8930173891587232,0.7489397305328755,,0.6699129619318348
g6,0.8584018203503117,,0.81925343566924,0.7956233141715165,,0.6995783569649546
g7,0.9236437467703412,,0.8876941213278109,0.8953121047842526,,0.939049564204384
g8,0.7460323957663294,,0.8811801493825708,0.6185036014817235,,0.7895540570125527
g9,0.8637381117540753,,0.7418657280368368,0.7846258972150445,,0.6877804868718553
h1,0.10571586299911738,,0.0882783611324776,0.4138742199970056,,0.5924485401182049
h10,0.5951399973087393,,0.7466658189529642,0.6226773712931968,,0.7459477553797216
h2,0.42788124566199454,,0.4418361016077854,0.7359884102970053,,0.7359884102970053
h3,0.5994428619877791,,0.5294401534532084,0.6004349416930268,,0.7277494728485118
h4,0.37861425347198185,,0.6774751850776797,0.8263487992017066,,0.5628548115818198
h5,0.8357276716822127,,0.8278091780206618,0.7975744347410261,,0.7895365699947755
h6,0.7905488403727928,,0.7905488403727928,0.8119301694556114,,0.8119301694556114
h7,0.9037681778702573,,0.8456620045173028,0.8875561528831284,,0.8910656669993733
h9,0.0,,0.0,0.0,,0.0
a10_p,,0.014774063519996987,0.014859293284263537,,0.8653336796898329,0.8489001473300095
a8_p,,0.03502228563243732,0.0351651944027915,,0.7732703802349314,0.7673793564948386
a9_p,,0.04780817093881168,0.04787967082726306,,0.8610629225929836,0.8474620166880734
b10_p,,0.002736147643362301,0.0034468720314832406,,0.8847508267437217,0.6879544336597416
b11_p,,0.025523312014006313,0.031734737170547575,,0.8520579203692716,0.7049093559272763
b8_p,,0.031022485016692813,0.031022485016692813,,0.77909675043527,0.77909675043527
b9_p,,0.008598902395592418,0.015691060726971164,,0.8304355326237519,0.4330779859948912
c10_p,,0.00324761030959315,0.004039960199583113,,0.8711605921295786,0.7251418208313483
c11_p,,0.005162681966746415,0.005162681966746415,,0.868317339987791,0.868317339987791
c8_p,,0.00831629842707632,0.007480396767243737,,0.5195644006581901,0.6841715067195763
c9_p,,0.009523747073828056,0.009285424391916248,,0.831910609559092,0.8436656059276169
d10_p,,0.004549918793520563,0.006043447711711266,,0.8520496177926711,0.6473983387873524
d11_p,,0.011401948482316173,0.010653857333270027,,0.7167150649749996,0.7601311146835918
d8_p,,0.06569963360891351,0.06403760073992998,,0.7496998495854654,0.8478123782963234
d9_p,,0.006635672072729348,0.006356823218648257,,0.86464016596576,0.8658312365813715
e10_p,,0.0021374831787242224,0.0025924498651225406,,0.6022356031003779,0.7659444107352148
e11_p,,0.15871413832657272,0.13614956360819866,,0.4811767428788705,0.5878174397565253
e8_p,,0.007397097048015226,0.007474362134184892,,0.7005735091855291,0.6917535052103126
e9_p,,0.00036845983787767134,0.00020753346477119436,,0.07497110517715516,0.0660697319205744
f10_p,,0.0,0.0,,0.0,0.0
f11_p,,0.010445391127221754,0.010264887849382388,,0.786546464278004,0.7953533117941133
f8_p,,0.03557997307604529,0.034776867228936616,,0.5954186397241059,0.7245895807393301
f9_p,,0.04155209828023722,0.038994522363399085,,0.5619077659625031,0.6798397214327777
g10_p,,0.006321356268333999,0.007478966643571216,,0.4633873450842112,0.5355507858964399
g11_p,,0.004535222239092691,0.004674552800199946,,0.6081632321723566,0.723932486725485
g8_p,,0.020309753267417543,0.02010779575871544,,0.6299789809310071,0.6479173111280863
g9_p,,0.00448344019669286,0.004476404941712181,,0.7423656905886802,0.7528863577530417
h10_p,,0.001079974990052862,0.0013369198866163335,,0.533452415696928,0.7951096322987684
h11_p,,0.0030970550076031304,0.0029858124691028564,,0.8262619975499427,0.8631026631804547
h8_p,,0.007555026769779893,0.009119983791840928,,0.8557194367818655,0.6830993406767606
h9_p,,0.00252189342612118,0.0026678959653041057,,0.6843706661674334,0.6286249312493217
