,HT29-dapi,HT29-pi,Hs766T-dapi,Hs766T-pi,both-dapi,both-pi
f9,0.5917509658772525,0.8203405578287205,,,0.9217106637876994,0.8119604016106627
g5,0.746732315539655,0.8186728941098766,,,0.5284720054354812,0.7254387434165225
g6,0.5606969577760293,0.8747068750136975,,,0.8229992267543011,0.7997115694794967
h4,0.8533891850723534,0.5033982683982684,,,0.8295148247978437,0.843626194360289
a5,0.8853860610392017,0.9059544698402571,,,0.8340037046837788,0.6616444866920153
a8,0.826513671875,0.8659218703758509,,,0.7932045450943725,0.7757984343840224
b1,0.37095906621483515,0.7360938809723386,,,0.5178405624088075,0.731146432194792
b9,0.921716388137772,0.8641329979562962,,,0.820580474934037,0.8691412997581667
c2,0.6588368379025819,0.0982999622213827,,,0.6502528613255257,0.0907391429393155
d4,0.6569810620126253,0.8924308695974498,,,0.6318329466357309,0.812388418846542
d6,0.7286297524878795,0.8387891226269882,,,0.8650929549902152,0.8038950804908251
d7,0.6551438870176682,0.8672719638920962,,,0.6847717602563429,0.8204337773863261
e4,0.7712219974526111,0.8867970363172598,,,0.7729485704169249,0.8966010628978567
f8,0.8685487243831033,0.8364970345934059,,,0.8564108618654073,0.8094493448919793
g2,0.9074029302258111,0.7608361717758633,,,0.8533146591970121,0.8144811602870813
h7,0.7652373660030628,0.8549749570157733,,,0.8962216984501107,0.8820398086715013
h9,0.2928095872170439,0.40115756910487976,,,0.19792342634652824,0.33165449508939815
a2,0.7717613958883487,0.7248983256747478,,,0.7205721521901801,
a4,0.8971272431873569,0.8036593608187699,,,0.9038114527711287,
b5,0.5876231331426756,0.8526319699840261,,,0.6527613322403376,0.6011880717595343
d1,0.7760564354381354,0.7524483133841132,,,0.7535976297968398,
e1,0.5436899362491674,0.8499788404570461,,,0.8380812971512217,
e3,0.6962573230344415,0.8657107469512195,,,0.8603419341304804,0.7713030356825847
e8,0.7536575855697017,0.898932987634623,,,0.9395642251216466,
f1,0.4456535532994924,0.7655400999782656,,,0.5706259037388969,0.38844477715691256
f4,0.9207376819708847,0.9254913819171454,,,0.8406096706377014,0.8827697735960012
g1,0.4498992269049123,0.800647524016772,,,0.610097373373701,0.41230085784313725
g7,0.7819078151463827,0.9353917966347595,,,0.9145345970525393,0.7802719891405445
g8,0.6417157619913337,0.8764804845222073,,,0.8322347042985795,0.7322570662265319
h5,0.9233002556658144,0.9087449219585204,,,0.8710404407161637,0.8913254571937207
b4,0.7335723977515022,0.8857293060600268,,,0.9219057434648178,0.6165988528849453
b8,0.4829171790621825,0.9223154893886601,,,0.845837799214005,
c4,0.7376462938881665,0.8644363999500686,,,0.8135667078219188,0.7528721121070572
c6,0.6370191095648666,0.7224665437177851,,,0.7875369729783928,
d2,0.6183632734530938,0.8333830104321908,,,0.772245971719829,0.7393921334922526
d3,0.7995310668229777,0.8576533650982728,,,0.8838401390095569,
e6,0.653131885426503,0.9390992302891616,,,0.5492227064989148,0.5817605075337035
e9,0.9248863004959562,0.8307963820869182,,,0.9577596217650962,0.48562508796396997
g3,0.8811080280299111,0.8412910194097653,,,0.8725344737301449,
g4,0.7738504200985059,0.9034209428452232,,,0.9339871897518014,
g9,0.9119298245614035,0.9357194889059516,,,0.911193159735717,0.8876851395886208
h1,0.7104730831973899,0.7216132368148914,,,0.5578715302134483,0.10611357838042143
h2,0.7047645276783255,0.7856898502670983,,,0.8089470061940812,
c11_p,,,0.9004785073786642,0.0,0.7193271355317463,0.009366787214447763
c8_p,,,0.7757266219514697,0.0,0.8787243390047128,0.01549091445572795
e10_p,,,0.8541295584512983,0.0,0.920149486141389,
e8_p,,,0.5906130208495652,0.0,0.7887011224867398,0.01730795439058738
g10_p,,,0.6826617910859666,0.0,0.8676364137740857,0.01167186152927913
h10_p,,,0.854776062970474,0.0,0.7892940852061217,0.0033211397766653833
