,ht29-pi,pancreas-pi,both-pi,ht29-dapi,pancreas-dapi,both-dapi
g9,0.73828125,,0.9059266982115647,0.8021185485688528,,0.7041946972694895
h1,0.06048387096774194,,0.10862336510751497,0.589164429000158,,0.6734372952430874
h10,0.6737203166226913,,0.44976204481043797,0.5609969788519638,,0.6574817192794721
h2,0.7018965024301915,,0.36796238963421624,0.5810914681014604,,0.3766997427416391
h3,0.6529356554385233,,0.4003445534057779,0.7224025974025974,,0.4597027722206345
h4,0.7031735081062436,,0.3076650420912716,0.821092655593356,,0.6023119851182567
h5,0.8311278195488722,,0.9050925925925926,0.8327526132404182,,0.8020420603474551
h6,0.7595529920692141,,0.8266719430154333,0.8156498673740054,,0.7872418205081338
h7,0.8934738074334211,,0.867100977198697,0.8968133535660091,,0.8870305164319249
h9,0.20429636124506795,,0.041110517885744796,0.1158473702303197,,0.19463753723932473
a10_p,,0.0,0.01652589056188028,,0.8594970986460349,0.6251393090272249
a8_p,,0.0,0.019886363636363636,,0.7085087788988639,0.35518484365831166
a9_p,,0.0,0.05066536442436821,,0.8764987069978841,0.8644801465079497
b10_p,,0.0,0.003700657894736842,,0.8845236201686019,0.7909513742071882
b11_p,,0.0,0.0456989247311828,,0.8523105503521945,0.7980860419001639
b8_p,,0.0,0.03402286336418073,,0.8735814419225634,0.6608634485184208
b9_p,,0.0,0.012874251497005988,,0.8486646884272997,0.8357756856324191
c10_p,,0.0,0.004025157232704402,,0.8877159309021113,0.7445832271221005
c11_p,,0.0,0.011409127301841474,,0.8656960448458424,0.8074104912572856
c8_p,,0.0,0.008517887563884156,,0.8186503462715413,0.5392074903862231
c9_p,,0.0,0.012078830260648443,,0.8277058780999205,0.8355344934742076
d10_p,,0.0,0.0072195121951219516,,0.8874341369950502,0.8014190387701664
d11_p,,0.0,0.016177246351327588,,0.7640575378292547,0.7073355876061004
d8_p,,0.0,0.07789918928445541,,0.8072003063960168,0.5089156626506024
d9_p,,0.0,0.008774067755300999,,0.8371408045977011,0.8475853583512766
e10_p,,0.0,0.0031308703819661866,,0.8549692066175583,0.6393234134554241
e11_p,,0.0,0.25266429840142096,,0.8495494583375519,0.5738383195416932
e8_p,,0.0,0.0125,,0.6059615142749339,0.23683510638297872
e9_p,,0.0,0.002069441250862267,,0.8217206411514557,0.7853200234879624
f10_p,,0.0,0.001694915254237288,,0.889375402446877,0.7579222926426012
f11_p,,0.0,0.014563106796116505,,0.79008159372682,0.7100605772657085
f8_p,,0.0,0.02648171500630517,,0.6914248021108179,0.31183673469387757
f9_p,,0.0,0.044639947865754315,,0.8144392865868556,0.7599315969481716
g10_p,,0.0,0.0016778523489932886,,0.7620457604306864,0.47482517482517483
g11_p,,0.0,0.004739336492890996,,0.8859259259259259,0.7232558139534884
g8_p,,0.0,0.019553072625698324,,0.738176314793795,0.46479586668017425
g9_p,,0.0,0.007081625046589639,,0.7927219080403246,0.7173884428063709
h10_p,,0.0,0.0004284490145672665,,0.8956284153005465,0.7219124616671313
h11_p,,0.0,0.005017709563164109,,0.8918083462132921,0.7802934480141664
h8_p,,0.0,0.006984126984126984,,0.8077272137948918,0.5542803132595193
h9_p,,0.0,0.0027506112469437654,,0.7838897721250663,0.6906886296042095
